PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL),OIL_RATE,GAS_RATE,WATER_RATE,TOTAL_RATE,WATERCUT,MONTH,YEAR,DAY_OF_YEAR,OIL_RATE_ROLLING,GAS_RATE_ROLLING,WATER_RATE_ROLLING,WATERCUT_ROLLING,PRESSURE_RATIO,GOR,PI,GOR_ROLLING,PI_ROLLING
2014-02-27,Well_#1,24.0,3527.0,207.698,962.464,45.7525,1456.12,116.828,1798.0,1802.0,"2,518",0.0,48.625,48.583333333333336,0.0,48.625,0.0,2,2014,58,48.625,48.583333333333336,0.0,0.0,2.422190478806692,0.9991431019708655,0.013786504111142614,0.9991431019708655,0.013786504111142614
2014-02-28,Well_#1,24.0,3430.0,208.071,998.02,46.30034,1375.62,120.235,3348.0,3362.0,"4,715",0.0,64.58333333333333,65.0,0.0,64.58333333333333,0.0,2,2014,59,56.604166666666664,56.79166666666667,0.0,0.0,2.4934211482822293,1.006451612903226,0.018828960155490765,1.0027973574370457,0.01630773213331669
2014-03-01,Well_#1,24.0,3335.0,208.24,977.291,47.07776,1271.45,122.467,4596.0,4614.0,"6,514",0.0,52.0,52.166666666666664,0.0,52.0,0.0,3,2014,60,55.069444444444436,55.25,0.0,0.0,2.6229895001769634,1.0032051282051282,0.015592203898050975,1.0029332810264064,0.01606922272156145
2014-03-02,Well_#1,24.0,3226.0,208.374,985.493,48.34917,1261.95,124.217,5942.0,5969.0,"8,289",0.0,56.083333333333336,56.458333333333336,0.0,56.083333333333336,0.0,3,2014,61,55.322916666666664,55.552083333333336,0.0,0.0,2.556361187051785,1.0066864784546805,0.017384790245918578,1.003871580383475,0.016398114602650733
2014-03-03,Well_#1,24.0,3142.0,208.377,971.198,48.78807,1202.41,126.017,7292.0,7337.0,"10,081",0.0,56.25,57.0,0.0,56.25,0.0,3,2014,62,55.50833333333334,55.841666666666676,0.0,0.0,2.61308538684808,1.0133333333333334,0.017902609802673455,1.0057639309734467,0.01669901364265528
2014-03-04,Well_#1,24.0,3067.0,208.357,970.844,49.2138,1092.62,127.378,8637.0,8694.0,"11,931",0.0,56.041666666666664,56.541666666666664,0.0,56.041666666666664,0.0,3,2014,63,55.59722222222222,55.958333333333336,0.0,0.0,2.8070143325218284,1.008921933085502,0.01827247038365395,1.0062902646587892,0.016961256432821724
2014-03-05,Well_#1,24.0,3037.0,208.268,1034.27,48.6105,1092.96,124.192,9917.0,9995.0,"13,696",0.0,53.333333333333336,54.208333333333336,0.0,53.333333333333336,0.0,3,2014,64,55.273809523809526,55.708333333333336,0.0,0.0,2.7786927243448982,1.01640625,0.017561189770606958,1.0077354054218193,0.017046961195362472
2014-03-06,Well_#1,24.0,3045.0,208.111,1020.24,47.45899,1075.0,119.861,11142.0,11241.0,"15,436",0.0,51.041666666666664,51.916666666666664,0.0,51.041666666666664,0.0,3,2014,65,54.744791666666664,55.234375,0.0,0.0,2.832558139534884,1.0171428571428571,0.016762452107279693,1.0089113368869491,0.017011397559352125
2014-03-07,Well_#1,24.0,3016.0,208.084,969.03,47.47047,1054.01,119.238,12355.0,12469.0,"17,176",0.0,50.541666666666664,51.166666666666664,0.0,50.541666666666664,0.0,3,2014,66,54.27777777777778,54.78240740740741,0.0,0.0,2.8614529273915807,1.012366034624897,0.01675784703801945,1.0092951921911655,0.01698322527920405
2014-03-08,Well_#1,24.0,3020.0,207.985,1005.45,46.85459,1075.32,116.814,13429.0,13558.0,"18,718",0.0,44.75,45.375,0.0,44.75,0.0,3,2014,67,53.325,53.84166666666666,0.0,0.0,2.808466317003311,1.0139664804469273,0.014817880794701987,1.0097623210167417,0.016766690830753845
